year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0	0	5329
1982	0	0	5319
1983	0	0	5285
1984	0.0005634861006761833	3	5324
1985	0	0	5715
1986	0	0	5186
1987	0.00018284878405558602	1	5469
1988	0.0005447612130016343	3	5507
1989	0.000697350069735007	4	5736
1990	0.0003508771929824561	2	5700
1991	0.0010185028008827025	6	5891
1992	0.0008364001338240214	5	5978
1993	0.0005034401745259272	3	5959
1994	0.0009951899154088573	6	6029
1995	0.0007782101167315176	5	6425
1996	0.0010594823671863176	7	6607
1997	0.00018521948508983145	1	5399
1998	0.0005514199062586159	2	3627
1999	0.00042444821731748726	3	7068
2000	0.0006079766536964981	5	8224
2001	0.00028805991646262423	2	6943
2002	0.0005752636625119846	3	5215
2003	0.0001389274798555154	1	7198
2004	0.000598623166716552	4	6682
2005	0	0	6160
2006	0	0	3470
2007	0	0	2099
2008	0.00017966223499820338	2	11132
2009	0.0002979737783075089	5	16780
2010	0.0003251821019771072	5	15376
2011	0	0	14688
2012	0.00005991970759182695	1	16689
2013	0.00010418294525186227	2	19197
