year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0	0	5329
1982	0	0	5319
1983	0	0	5285
1984	0	0	5324
1985	0	0	5715
1986	0	0	5186
1987	0	0	5469
1988	0	0	5507
1989	0	0	5736
1990	0	0	5700
1991	0	0	5891
1992	0	0	5978
1993	0.0003356267830172848	2	5959
1994	0.0011610549013103333	7	6029
1995	0.0007782101167315176	5	6425
1996	0.0004540638716512789	3	6607
1997	0.0009260974254491572	5	5399
1998	0.00027570995312930797	1	3627
1999	0.0008488964346349745	6	7068
2000	0.0008511673151750973	7	8224
2001	0.0010082097076191847	7	6943
2002	0.0011505273250239693	6	5215
2003	0.0011114198388441233	8	7198
2004	0.0010475905417539658	7	6682
2005	0.000487012987012987	3	6160
2006	0.0011527377521613833	4	3470
2007	0.0028585040495474035	6	2099
2008	0.003952569169960474	44	11132
2009	0.001966626936829559	33	16780
2010	0.0020161290322580645	31	15376
2011	0.0024509803921568627	36	14688
2012	0.0020971897657139434	35	16689
2013	0.0018232015419075898	35	19197
